eyeAct,uAct,uPow,lAct,lPow,time
neutral,surprise,0.620485,neutral,0.0,1732051113.2625
neutral,surprise,0.620485,neutral,0.0,1732051113.3251
neutral,surprise,0.026511,neutral,0.0,1732051113.3562
neutral,surprise,0.026511,neutral,0.0,1732051113.4182
neutral,surprise,0.026511,neutral,0.0,1732051113.4496
neutral,surprise,0.0,neutral,0.0,1732051113.5121
neutral,surprise,0.0,neutral,0.0,1732051113.5744
neutral,surprise,0.007034,neutral,0.0,1732051113.6054
neutral,surprise,0.007034,neutral,0.0,1732051113.6679
neutral,surprise,0.192412,neutral,0.0,1732051113.7306
neutral,surprise,0.192412,neutral,0.0,1732051113.7616
neutral,surprise,0.192412,neutral,0.0,1732051113.8241
neutral,surprise,0.417136,neutral,0.0,1732051113.8866
neutral,surprise,0.417136,neutral,0.0,1732051113.9179
neutral,surprise,0.799106,neutral,0.0,1732051113.9801
neutral,surprise,0.799106,neutral,0.0,1732051114.043
neutral,surprise,0.799106,neutral,0.0,1732051114.0744
neutral,surprise,0.919713,neutral,0.0,1732051114.1372
neutral,surprise,0.919713,neutral,0.0,1732051114.1683
neutral,surprise,0.859511,neutral,0.0,1732051114.2309
neutral,surprise,0.859511,neutral,0.0,1732051114.2933
neutral,surprise,0.859511,neutral,0.0,1732051114.3243
neutral,surprise,1.0,neutral,0.0,1732051114.3872
neutral,surprise,1.0,neutral,0.0,1732051114.4184
blink,surprise,1.0,neutral,0.0,1732051114.5121
blink,surprise,1.0,neutral,0.0,1732051114.5432
neutral,surprise,1.0,neutral,0.0,1732051114.6061
neutral,surprise,1.0,neutral,0.0,1732051114.6375
neutral,surprise,1.0,neutral,0.0,1732051114.6998
neutral,surprise,1.0,neutral,0.0,1732051114.7621
neutral,surprise,1.0,neutral,0.0,1732051114.7935
neutral,surprise,1.0,neutral,0.0,1732051114.8562
neutral,surprise,1.0,neutral,0.0,1732051114.9186
neutral,surprise,1.0,neutral,0.0,1732051114.9497
neutral,surprise,0.856185,neutral,0.0,1732051115.0124
neutral,surprise,0.856185,neutral,0.0,1732051115.0437
neutral,surprise,0.573792,neutral,0.0,1732051115.1061
neutral,surprise,0.573792,neutral,0.0,1732051115.1682
neutral,surprise,0.853687,neutral,0.0,1732051115.2306
neutral,surprise,0.853687,neutral,0.0,1732051115.2617
neutral,surprise,0.853687,neutral,0.0,1732051115.3241
neutral,surprise,1.0,neutral,0.0,1732051115.3552
neutral,surprise,1.0,neutral,0.0,1732051115.4175
neutral,surprise,1.0,neutral,0.0,1732051115.4796
neutral,surprise,1.0,neutral,0.0,1732051115.5108
neutral,surprise,1.0,neutral,0.0,1732051115.5737
neutral,surprise,1.0,neutral,0.0,1732051115.6362
neutral,surprise,1.0,neutral,0.0,1732051115.6982
neutral,surprise,0.813859,neutral,0.0,1732051115.7296
neutral,surprise,0.813859,neutral,0.0,1732051115.7924
neutral,surprise,0.813859,neutral,0.0,1732051115.8237
neutral,surprise,0.902875,neutral,0.0,1732051115.8859
neutral,surprise,0.902875,neutral,0.0,1732051115.9486
neutral,surprise,0.90657,neutral,0.0,1732051115.9801
neutral,surprise,0.90657,neutral,0.0,1732051116.0423
neutral,surprise,0.90657,neutral,0.0,1732051116.0736
neutral,surprise,0.904145,neutral,0.0,1732051116.1362
neutral,surprise,0.904145,neutral,0.0,1732051116.1988
neutral,surprise,0.669919,neutral,0.0,1732051116.2608
neutral,surprise,0.669919,neutral,0.0,1732051116.2923
neutral,surprise,0.674638,neutral,0.0,1732051116.3549
neutral,surprise,0.674638,neutral,0.0,1732051116.386
neutral,surprise,0.674638,neutral,0.0,1732051116.4484
neutral,surprise,0.934777,neutral,0.0,1732051116.511
neutral,surprise,0.934777,neutral,0.0,1732051116.5424
neutral,surprise,0.830359,neutral,0.0,1732051116.6045
neutral,surprise,0.830359,neutral,0.0,1732051116.667
neutral,surprise,0.830359,neutral,0.0,1732051116.6982
neutral,surprise,0.734337,neutral,0.0,1732051116.7609
neutral,surprise,0.734337,neutral,0.0,1732051116.7919
neutral,surprise,0.811461,neutral,0.0,1732051116.8544
neutral,surprise,0.811461,neutral,0.0,1732051116.9171
neutral,surprise,0.696502,neutral,0.0,1732051116.9792
neutral,surprise,0.696502,neutral,0.0,1732051117.0102
neutral,surprise,0.696502,neutral,0.0,1732051117.0729
neutral,surprise,0.732635,neutral,0.0,1732051117.1356
neutral,surprise,0.732635,neutral,0.0,1732051117.1978
neutral,surprise,0.705839,neutral,0.0,1732051117.2289
neutral,surprise,0.705839,neutral,0.0,1732051117.2914
neutral,surprise,0.705839,neutral,0.0,1732051117.3226
neutral,surprise,0.77675,neutral,0.0,1732051117.3849
neutral,surprise,0.77675,neutral,0.0,1732051117.4472
neutral,surprise,0.773818,neutral,0.0,1732051117.4786
